x: 0, y: 0
x: 0.2, y: 0.198669
x: 0.4, y: 0.389418
x: 0.6, y: 0.564642
x: 0.8, y: 0.717356
x: 1, y: 0.841471
x: 1.2, y: 0.932039
x: 1.4, y: 0.98545
x: 1.6, y: 0.999574
x: 1.8, y: 0.973848
x: 2, y: 0.909297
x: 2.2, y: 0.808496
x: 2.4, y: 0.675463
x: 2.6, y: 0.515501
x: 2.8, y: 0.334988
x: 3, y: 0.14112
x: 3.2, y: -0.0583741
x: 3.4, y: -0.255541
x: 3.6, y: -0.44252
x: 3.8, y: -0.611858
x: 4, y: -0.756802
x: 4.2, y: -0.871576
x: 4.4, y: -0.951602
x: 4.6, y: -0.993691
x: 4.8, y: -0.996165
x: 5, y: -0.958924
x: 5.2, y: -0.883455
x: 5.4, y: -0.772764
x: 5.6, y: -0.631267
x: 5.8, y: -0.464602
x: 6, y: -0.279415
x: 6.2, y: -0.0830894
x: 6.4, y: 0.116549
x: 6.6, y: 0.311541
x: 6.8, y: 0.494113
x: 7, y: 0.656987
x: 7.2, y: 0.793668
x: 7.4, y: 0.898708
x: 7.6, y: 0.96792
x: 7.8, y: 0.998543
